# Proposed identifiers for DATA objects, the companion to name_proposals.tsv.
# Consumed by tools/name_evidence.py --subsystems.
#
# Same rules: basis is recorded, and a symbol whose purpose the code does not
# establish is left out rather than guessed at.
#
#symbol	proposed	basis	subsystem	why
iwram_3001ebc	gMapState	read+family	Field / map	The map module's state block, referenced by 131 of the files we elevated. Holds the event counters at +0x16c, the event flag halfword at +0x170, the actor table, the looping sound id at +0xcc8 and the area fields.
iwram_3001e70	gMapView	read+family	Map rendering	The map view block: layer pointers at +0x130 with a 0x30-byte record per layer, the camera words at +4/+8/+0xc, the marker table and the camera bounds at +0xec.
iwram_3001e8c	gUIState	read+family	UI windows	The UI block: the window list, the text object at +0x620, the text control bytes at +0x12fa and the panel field group at +0xea8.
iwram_3001f2c	gMenuState	read+family	Menus	The party-menu module's state block: the grid node list at +0x48, the message box at +0x10c, the entry table at +0x134 and the actor scale table at +0x244.
iwram_3001e74	gBattleState	read+family	Battle	The battle state block: unit records at +0x80 with a 0x2c-byte stride, the slot table at +0x64, and the turn phase words at +0x7fc through +0x804.
iwram_3001e80	gBattleView	read+family	Battle	The battle camera and view record -- the three vectors, pitch and yaw that Battle_SetViewAngles writes and Battle_PollCameraKeys nudges.
iwram_3001eec	gAnimContext	read+family	Battle animation	The battle animation context: the counter group at +0x7790, the window registers at +0x77bc, the BG2 reference points at +0x77d0 and the blit block at +0x7818.
iwram_3001f30	gFieldEffects	read+family	Field / effects	The field effect module's block, with sixteen effect slots from +0x58.
iwram_3001ed0	gTransition	read+family	Field / transition	The screen-transition block: mode halfword at the head, then the pattern buffer the scanline hook feeds.
iwram_3001e98	gOptionMenu	read+family	Option menu	The option menu module's block: the node list, the cursor pair at +0x396 and the option record at +0x348.
iwram_3001f38	gDebugMenu	read+family	Debug menu	The debug menu module's block.
iwram_3001f1c	gSaveScratch	read+family	Save / flash	The flash save scratch block: sixteen slot-status bytes at the head, the sector buffer from +0x40 and the payload from +0x50.
iwram_3001e64	gFieldActors	read+family	Actor engine	The field actor table: 64 records at a 0x70-byte stride, each with the collidable flag at +0x59 and the position at +8.
iwram_3001e40	gFrameCounter	read+family	Field / map	The global frame counter. Read as & 0xf for a phase gate, & 1 and & 2 for the two actor flicker variants, and >> 2 & 1 for the effect flicker.
iwram_3001ea8	gMinimap	read+family	Field / minimap	The minimap module's block, holding the tracked actor and the projected arrow angle.
iwram_3001ee4	gBoxSlots	read+family	UI windows	A small block whose first slot holds the currently open UI box; Battle_SetEndFlag writes its third word.
iwram_3001e60	gSpriteLayers	read+family	Sprites	The sprite layer group table, indexed at +0x28 with four bytes per group and ten entries each.
